side,price,qty
S,10003,2
S,9997,12
B,9992,7
B,9990,3
B,9988,2
S,9997,19
S,9996,2
B,9988,10
B,9989,19
S,9991,4
S,9992,12
S,9988,19
S,9988,18
S,9988,19
B,9982,6
S,9987,19
S,9988,15
S,9985,4
B,9982,5
B,9984,18
S,9989,11
B,9984,19
B,9990,9
S,9992,2
S,9998,15
S,9995,1
B,9987,4
B,9989,5
B,9990,16
B,9987,18
S,9994,18
S,9992,13
B,9985,5
S,9986,16
S,9991,10
B,9980,12
S,9988,17
S,9988,15
S,9995,13
B,9989,16
B,9990,3
B,9989,11
B,9990,19
S,9992,20
B,9984,20
B,9983,12
B,9986,4
B,9986,16
B,9988,4
B,9989,16
S,10000,1
S,9998,12
S,9992,17
S,9991,9
B,9989,12
B,9989,17
S,9998,7
B,9992,8
S,9997,1
S,9995,9
S,9992,15
S,9995,12
B,9987,16
B,9983,20
S,9992,12
S,9992,13
S,9996,16
B,9989,3
S,9999,15
S,9996,6
S,9994,5
S,9996,20
S,10001,12
S,9997,1
S,9993,17
S,9998,7
S,9998,9
B,9993,19
B,9990,5
S,9994,15
S,9998,14
S,10001,5
B,9992,1
B,9998,20
S,9999,6
B,9994,18
B,9987,17
B,9992,18
B,9987,2
B,9989,18
S,9991,15
S,9994,20
B,9987,15
S,9995,17
S,9992,18
S,9989,14
B,9981,3
B,9985,7
B,9987,5
S,9993,5
S,9993,8
S,9995,16
S,9991,6
B,9986,13
B,9987,11
S,9988,11
B,9987,13
S,9990,17
B,9982,4
B,9980,6
S,9984,9
B,9975,19
S,9981,9
S,9979,14
B,9973,3
B,9972,8
B,9973,15
B,9966,14
S,9971,17
B,9971,6
B,9969,10
B,9971,10
S,9975,9
S,9975,2
B,9964,18
S,9969,15
S,9968,16
S,9969,17
S,9966,11
S,9964,13
S,9963,1
S,9961,14
B,9952,17
S,9963,8
B,9956,6
B,9957,9
S,9962,11
B,9952,7
B,9951,13
B,9946,7
S,9950,3
S,9950,13
B,9948,10
S,9949,19
S,9951,20
S,9953,5
S,9950,2
S,9956,14
S,9958,5
S,9959,1
S,9959,3
B,9951,4
S,9959,2
B,9951,8
B,9952,3
S,9963,3
S,9964,9
B,9960,8
S,9967,15
S,9966,16
B,9966,20
S,9970,20
B,9964,20
B,9964,2
B,9967,7
B,9965,10
B,9969,18
B,9967,16
B,9964,17
S,9969,7
B,9962,5
S,9968,5
S,9971,9
S,9965,16
B,9961,1
S,9967,10
B,9962,13
B,9961,1
S,9967,4
S,9964,9
B,9956,19
B,9953,9
B,9959,2
S,9965,8
B,9959,7
B,9961,1
S,9972,18
B,9968,2
B,9966,5
S,9977,2
B,9970,14
B,9970,9
S,9976,16
S,9975,6
B,9974,17
B,9977,15
S,9982,14
S,9978,3
B,9973,11
B,9967,7
S,9973,13
S,9971,13
B,9967,16
S,9970,5
S,9971,3
S,9972,13
B,9967,1
B,9964,19
B,9964,17
B,9967,8
B,9972,5
S,9976,15
S,9973,1
B,9970,2
S,9979,9
S,9979,4
B,9970,7
B,9970,1
S,9976,9
S,9973,16
B,9970,1
S,9975,2
B,9965,3
B,9964,12
B,9963,14
S,9967,1
B,9963,3
B,9964,10
S,9971,15
B,9964,4
B,9966,8
B,9967,20
S,9967,7
S,9965,14
S,9962,13
S,9963,4
S,9960,7
S,9960,15
B,9948,12
B,9950,1
B,9945,14
S,9947,13
S,9947,14
B,9937,7
S,9944,7
B,9935,1
B,9937,2
B,9940,2
B,9939,20
B,9936,20
B,9933,9
B,9930,3
S,9933,16
S,9938,9
S,9936,16
B,9929,5
B,9930,15
S,9937,3
B,9931,8
B,9932,16
S,9936,14
S,9934,20
B,9924,16
S,9932,8
B,9923,8
S,9931,10
B,9926,12
S,9930,15
B,9924,5
S,9930,7
B,9921,8
S,9926,15
B,9918,8
B,9922,2
B,9923,7
S,9930,7
B,9920,15
B,9922,4
S,9930,12
B,9920,5
B,9917,2
S,9923,1
B,9921,6
B,9923,2
B,9924,3
B,9924,18
S,9927,6
S,9930,10
B,9927,10
S,9933,14
B,9927,7
S,9932,1
S,9934,4
B,9928,12
S,9935,1
S,9934,3
S,9934,17
B,9926,6
B,9929,4
B,9928,10
